question_id,hybrid_SE,token_entropy,seq_len,curv_std_w016,curv_std_full,curv_raw_w016,split
86,1.973001,3.249528,8.0,1.8913913,1.7720435,1.5761956,test
87,0.639032,3.643716,12.0,1.9003271,1.7690198,1.5641581,train
88,-0.0,2.8676462,8.0,1.8991312,1.7724844,1.5439796,test
89,-0.0,3.2953985,8.0,1.8962544,1.7875153,1.5711579,train
90,1.609438,3.8024366,13.0,1.9180788,1.7713044,1.5586954,train
91,1.695743,2.9033968,12.0,1.938929,1.8068715,1.6060886,test
92,0.897946,3.3492603,10.0,1.8918349,1.7628909,1.5682945,test
93,-0.0,2.6436875,12.0,1.9218407,1.8090811,1.6088747,train
94,0.325083,3.5823085,9.0,1.8944286,1.7645463,1.5361649,train
95,1.973001,2.3591688,12.0,1.90216,1.7830364,1.610465,train
96,-0.0,2.9398057,12.0,1.9124278,1.7810619,1.6235174,test
97,1.973001,3.5919964,9.0,1.9106865,1.7872746,1.6131082,train
98,0.693147,3.4760811,7.0,1.8539022,1.7657413,1.5365,test
99,1.834372,3.172663,11.0,1.8886529,1.7854983,1.62222,train
100,1.504788,3.5938199,7.0,1.8802055,1.7597324,1.5478405,test
101,0.325083,4.533724,6.0,1.9069942,1.774232,1.5734301,test
102,1.748067,3.7410774,8.0,1.9427122,1.7870312,1.5553933,train
103,1.227529,4.677268,7.0,1.8807068,1.753171,1.5386149,train
104,1.973001,3.576116,5.0,1.8764615,1.76075,1.5233092,train
105,2.302585,3.4461074,11.0,1.9161787,1.7826595,1.545907,train
106,-0.0,3.925814,9.0,1.9296366,1.7837042,1.5322275,train
107,-0.0,4.078902,5.0,1.8982563,1.7633631,1.5332516,test
108,2.302585,3.6420186,6.0,1.9027344,1.7742661,1.5937122,train
109,2.302585,4.6575637,8.0,1.9085999,1.7733713,1.5485497,train
110,2.302585,2.8441133,11.0,1.8961023,1.7798502,1.5600923,train
111,0.940448,3.3184144,11.0,1.9299294,1.7757326,1.5899321,train
112,1.834372,2.9366794,8.0,1.9332994,1.7958472,1.563533,train
113,0.940448,3.066209,16.0,1.9035298,1.7965615,1.5996513,train
114,0.639032,3.2683547,7.0,1.8545599,1.7615284,1.5869228,train
